1000
32
/home/jvictor/Imagens/Datasets/Corel1000/test1/image.orig/
38.0;3199.0;35.0;4093.0;35.0;4504.0;35.0;3744.0;3.0;2195.0;3.0;2145.0;3.0;2203.0;3.0;1888.0;3.0;2326.0;0.0;2293.0;3.0;2898.0;3.0;3293.0;3.0;2035.0;0.0;2311.0;0.0;2449.0;3.0;2620.0;243.jpg;Data_set/Corel1000/thumbnails/243.jpg
0.0;5895.0;12.0;2278.0;12.0;2672.0;0.0;6080.0;0.0;5670.0;12.0;4324.0;12.0;4417.0;0.0;2638.0;0.0;3239.0;12.0;2735.0;11.0;3006.0;11.0;2060.0;0.0;5263.0;20.0;1589.0;0.0;2756.0;0.0;5857.0;633.jpg;Data_set/Corel1000/thumbnails/633.jpg
36.0;4740.0;36.0;6144.0;36.0;6144.0;36.0;6144.0;3.0;1601.0;35.0;3320.0;35.0;3098.0;35.0;2285.0;3.0;2109.0;6.0;1736.0;35.0;4077.0;35.0;5086.0;6.0;2351.0;6.0;1714.0;15.0;3009.0;15.0;2998.0;159.jpg;Data_set/Corel1000/thumbnails/159.jpg
3.0;3894.0;18.0;1397.0;3.0;1533.0;33.0;2253.0;33.0;4268.0;0.0;3757.0;18.0;2188.0;11.0;1353.0;17.0;1130.0;17.0;1189.0;9.0;1128.0;9.0;3200.0;0.0;2455.0;0.0;3227.0;18.0;1331.0;9.0;3278.0;991.jpg;Data_set/Corel1000/thumbnails/991.jpg
36.0;3172.0;8.0;2011.0;36.0;2580.0;36.0;1773.0;8.0;4231.0;8.0;3331.0;8.0;3653.0;17.0;3272.0;8.0;3721.0;8.0;2697.0;0.0;3131.0;8.0;2701.0;8.0;3054.0;8.0;2468.0;8.0;2965.0;8.0;2784.0;537.jpg;Data_set/Corel1000/thumbnails/537.jpg
17.0;4606.0;17.0;3862.0;0.0;2743.0;0.0;3873.0;0.0;4581.0;17.0;2204.0;45.0;2521.0;0.0;5195.0;0.0;6144.0;0.0;2788.0;0.0;4414.0;0.0;6134.0;0.0;6144.0;0.0;5657.0;0.0;4896.0;0.0;5732.0;681.jpg;Data_set/Corel1000/thumbnails/681.jpg
35.0;5380.0;35.0;3098.0;3.0;2236.0;35.0;2227.0;38.0;3789.0;35.0;2519.0;17.0;2233.0;3.0;2437.0;38.0;4968.0;3.0;2019.0;17.0;2436.0;0.0;2872.0;3.0;1682.0;17.0;2376.0;17.0;2427.0;0.0;4216.0;171.jpg;Data_set/Corel1000/thumbnails/171.jpg
3.0;3546.0;3.0;3223.0;35.0;5548.0;35.0;3404.0;3.0;3780.0;35.0;2480.0;3.0;1999.0;0.0;2172.0;17.0;3140.0;17.0;3213.0;17.0;1844.0;17.0;2112.0;8.0;2266.0;17.0;1887.0;8.0;2322.0;8.0;1844.0;70.jpg;Data_set/Corel1000/thumbnails/70.jpg
33.0;2547.0;33.0;1144.0;17.0;1648.0;33.0;1668.0;18.0;1851.0;18.0;1219.0;33.0;874.0;33.0;1024.0;15.0;2091.0;33.0;1246.0;33.0;1481.0;33.0;3267.0;17.0;2397.0;17.0;1426.0;3.0;900.0;33.0;2253.0;986.jpg;Data_set/Corel1000/thumbnails/986.jpg
33.0;5452.0;33.0;6044.0;33.0;3647.0;33.0;4037.0;26.0;1905.0;33.0;815.0;3.0;1786.0;33.0;2941.0;3.0;1401.0;48.0;1670.0;48.0;2817.0;3.0;2100.0;3.0;4827.0;3.0;3854.0;3.0;4726.0;3.0;5716.0;361.jpg;Data_set/Corel1000/thumbnails/361.jpg
